0.60206 4.42682
0.69897 4.5704
0.778151 4.67317
0.845098 4.76093
0.90309 4.82863
0.954243 4.86082
1 4.95479
1.04139 5.0032
1.07918 5.03137
1.11394 5.06729
1.17609 5.15128
1.20412 5.19584
1.23045 5.23632
1.27875 5.27914
1.32222 5.31971
1.36173 5.37029
1.39794 5.4077
1.43136 5.4606
1.4624 5.48773
1.50515 5.54699
1.54407 5.56069
1.57978 5.60712
1.61278 5.65434
1.65321 5.69792
1.6902 5.74102
1.73239 5.7882
1.77085 5.83605
1.80618 5.87276
1.8451 5.88876
1.88081 5.96938
1.91908 5.98712
1.95904 6.03109
1.99564 6.06929
2.03342 6.13712
2.06819 6.1816
2.10721 6.21198
2.14613 6.27255
2.18184 6.31644
2.22011 6.3327
2.25768 6.40284
2.29447 6.43485
2.33244 6.47081
2.37107 6.52939
2.40824 6.55407
2.4456 6.60326
2.48287 6.66057
2.52114 6.67815
2.55871 6.75403
2.5966 6.79178
2.63448 6.81123
2.6721 6.86062
2.70927 6.94326
2.74663 6.97917
2.78462 7.01099
2.82217 7.08741
2.85974 7.09919
2.89763 7.12332
2.935 7.14914
2.97267 7.25386
3.0103 7.23632
3.04805 7.2765
3.08565 7.29471
3.1232 7.34583
3.16077 7.36162
3.19838 7.46874
3.23603 7.43516
3.2737 7.52426
3.31133 7.59566
3.34889 7.57207
3.3865 7.61808
3.42423 7.69872
3.4618 7.76479
3.49941 7.76478
3.53706 7.75984
3.57473 7.79743
3.61236 7.8488
3.65002 7.94589
3.68762 7.96954
3.72526 8.01143
3.7629 8.02547
3.80051 7.99723
3.83816 8.0839
3.87576 8.13911
3.91339 8.15405
3.951 8.14134
3.98865 8.20486
4.02629 8.17349
4.0639 8.21573
4.10154 8.24554
4.13915 8.26266
4.17679 8.26412
4.21442 8.31579
4.25205 8.325
4.28968 8.32831
4.3273 8.34789
4.36493 8.35786
4.40257 8.3534
4.44018 8.36376
4.47782 8.35288
4.51545 8.37907
4.55308 8.39368
4.59071 8.41155
4.62834 8.40584
4.66597 8.4155
4.70359 8.42018
4.74122 8.43449
4.77885 8.44301
4.81648 8.42306
4.85411 8.44613
4.89174 8.4419
4.92937 8.38319
4.967 8.44305
5.00462 8.44691
5.04225 8.40206
5.07988 8.46257
