epochs HTR01 HTR02 HTR03 HTR04 HTR05 HTR06 HTR07 HTR08 HTR09
1.0 0.9982559911822866 0.9982845425000827 0.9967623905404674 0.9980214524657126 0.998655944276317 0.9989017365262255 0.9986446495818986 0.9971629400110623 0.9970476881503741
2.0 0.9766619544426872 0.9686354879117717 0.9463306877286578 0.9498347515166428 0.9574642014935097 0.9738164133558 0.9884576922104634 0.9974695711863193 0.9996053795663165
3.0 0.9541745664698081 0.9494241240674235 0.9473204945783072 0.9493523349887063 0.9533665119865227 0.9673702377363158 0.9831074411317258 0.9895589671205658 0.9996894822457669
4.0 0.9763084588754846 0.9750930758473407 0.9671474603884258 0.9613401087143771 0.9653674919332706 0.9907040372646818 0.9953616638972101 0.9945528510639552 0.9994791010868191
5.0 0.9934928491980545 0.9927095310846173 0.9485192982630861 0.9407106541076066 0.9450120400322899 0.9529476276228974 0.9704335165146154 0.9838093701840939 0.9820995565825744
6.0 0.996521511595999 0.9957501759439988 0.992345255011756 0.9937334956165814 0.9966527610523884 0.9943332469858517 0.9973648641415316 0.9975152098654879 0.977351674181457
7.0 0.9767044451511404 0.9730990536529109 0.9887808410639483 0.9701432897865939 0.9656240096216525 0.9676812484924917 0.9709943511384111 0.9755369100111346 0.9824650348248012
8.0 0.9853759039287676 0.9889505610535453 0.9711883464570588 0.9598531496715177 0.9602594506945471 0.9640310509854698 0.9689092773205802 0.9629883370549422 0.9992363924522214
9.0 0.9919973019268489 0.9906578840727354 0.9614184317049106 0.961655323755383 0.9723260309874044 0.9841615591303937 0.9852641477661809 0.9756349622217956 0.99941332099863
10.0 0.9929892383415124 0.9945240163391491 0.9535873271480768 0.9568608393541758 0.9625260848559932 0.9924407580103142 0.9927783921141747 0.9945566395126815 0.9982692974136483
11.0 0.9828217327532738 0.9875723185591406 0.9585411783101424 0.9563391203819003 0.9631094950724876 0.9940133599505386 0.9960341968542146 0.9965461430486189 0.9947281221014762
12.0 0.997057828426597 0.9852801479142935 0.9628132668406066 0.9531509067183582 0.9507048451077182 0.9539176124218943 0.9690943111337772 0.9881751980127758 0.9933973296441184
13.0 0.997871889293157 0.9950544676847891 0.9572555574886077 0.949644648597609 0.9513589408830112 0.9617793628517781 0.9894734978791846 0.9714656477943191 0.998558862629095
14.0 0.9724992275547519 0.9951974294474338 0.9457866794878222 0.9494533408877567 0.996431338443041 0.9973018609265277 0.9974658738668633 0.9968767217702315 0.9983625404145335
15.0 0.993864409655095 0.9945685209433348 0.9404962805372682 0.9352409592753843 0.9341410188731716 0.9352884666937353 0.9428844456481594 0.9487215968513845 0.9992750747306605
16.0 0.9645006517461433 0.9651465811709505 0.9469106819879629 0.9397117742643532 0.9393658336832983 0.9407140810743544 0.9417279906863231 0.9432647550266756 0.9965765054340703
17.0 0.9597017963845508 0.9522501766638986 0.9528205126218614 0.9517268920618431 0.9532710299842054 0.9545860192255381 0.9557551453900215 0.9702428062038472 0.9992906087769688
18.0 0.9720263742588199 0.9755420913671158 0.9905787566377418 0.9794476324808481 0.9694408786409022 0.9846779832771607 0.9692989845580766 0.9730831989972876 0.9995802776988539
19.0 0.9889112289670724 0.986632346096727 0.9842154772970696 0.9844958014261299 0.9845324823959793 0.9853137066016427 0.9857644125043283 0.9850334613230247 0.9900465388753722
20.0 0.9925634746863742 0.992805721768314 0.9881379834429963 0.9898552487268785 0.9911449241593975 0.9919498745799353 0.9915316864671002 0.9917345414921347 0.9970147870802653
21.0 0.9936212945152997 0.9926876422634339 0.9923281191099851 0.992309397156843 0.9718260382381019 0.9918316461014743 0.9894543311788905 0.994795835054634 0.9997677256334094
