epochs HTR01 HTR02 HTR03 HTR04 HTR05 HTR06 HTR07 HTR08 HTR09
1.0 0.9927201454146461 0.9922732894048366 0.9912481282807127 0.9906933124542406 0.9909561966439355 0.9907929782866012 0.9905925578586328 0.9906567616132766 0.9928558780030097
2.0 0.9938692216962877 0.9938730370550563 0.9940398232590582 0.9938528729710544 0.9939730648879843 0.9940527858233513 0.9943243102127983 0.994412693856942 0.9943171178067218
3.0 0.9966766049830945 0.996573390329754 0.996530691688031 0.9966047877612613 0.9967902913597122 0.9970094626027061 0.997541480806577 0.9971786741267434 0.9968727385773002
4.0 0.9969971329922442 0.996713197016525 0.9972707344186323 0.9970901588216694 0.9970862211000028 0.9971487057025761 0.9967367817443628 0.9957428695782508 0.9968045590514927
5.0 0.9759019862428181 0.9684099538183734 0.9745929406195785 0.9730822117349766 0.9861654818658437 0.9924013632679434 0.9903045241572614 0.9800166947539629 0.9947544485695125
6.0 0.9886445826627198 0.9884117573128679 0.9834416699310994 0.9863470242751505 0.9892241610459627 0.9914047481241395 0.9920147340286796 0.9921161904719825 0.9925452240214361
7.0 0.9882562251806188 0.9712033028331667 0.9382241654533426 0.9419972386355795 0.950267636916402 0.955882359363763 0.9599789165399306 0.9651097089913542 0.5906439657849705
8.0 0.9938210370703443 0.989358097292997 0.9793564711109833 0.9823263446220665 0.9940513147721682 0.9944598700756415 0.9944429279768998 0.9924332648485408 0.9727154526449852
9.0 0.9973252793907286 0.996182918922989 0.964906634413618 0.9690228647097952 0.969588466462561 0.9782679238244381 0.9966115843844939 0.9815392861504637 0.5804594082631389
10.0 0.9971259831990112 0.9969310297281159 0.9606856381589325 0.9747050689169381 0.9853192304048718 0.9879477076208114 0.9899361055166777 0.9886477339712338 0.98932228054225
11.0 0.9991020780318661 0.999066938039069 0.9991625925973815 0.9992054184896287 0.9991741905178195 0.9991777067345049 0.9991862530936506 0.9990908380748774 0.9985034054930051
12.0 0.9985466176182554 0.998596069235791 0.9988584912562001 0.9986811283176716 0.998283125926026 0.9981808041684274 0.998363853308051 0.9978462059110068 0.9989171908290678
13.0 0.9915168339168628 0.9894808341727049 0.9772844476626132 0.9760658862420606 0.9945905473392084 0.9959300321270156 0.9958883614897657 0.9902023294489057 0.6096780904540798
14.0 0.9693834530326821 0.9722483540533139 0.993611542241018 0.9880908922215319 0.9913075670273123 0.9939489524444329 0.9943229063083138 0.9935648199580064 0.9873610433457282
15.0 0.9815710870024225 0.9733969187505205 0.9657814997687297 0.9702695075507216 0.976223248001362 0.9840433857403207 0.9891520473888846 0.9774340385651837 0.9676184402876401
16.0 0.9954404952534757 0.9953748970369117 0.9945795974199257 0.9954610708838793 0.9962691052674412 0.9967214092975627 0.9965889175826119 0.9945697668553979 0.9965535927213597
17.0 0.9906113087457321 0.9868055135719941 0.969584782419661 0.9772554510944076 0.9842525125692286 0.9818609658629465 0.9878393700958565 0.9915468000268447 0.9964956493179451
18.0 0.9865268098515737 0.9758858171862104 0.9532895694005156 0.9622313272205586 0.9747868262997177 0.9818565332887799 0.9856373178178494 0.9875684901768366 0.5851450483701678
19.0 0.99387432312529 0.9685319169009751 0.9976496033495521 0.9973859936054321 0.9944066619062831 0.9973419145527461 0.9971097178632622 0.9956402831995878 0.9979546549080268
20.0 0.9925852267385221 0.9914950445936889 0.9645276812219176 0.9740910531190557 0.997266349483418 0.9974006142445112 0.9976203535220637 0.9947829971033323 0.9933774300683926
21.0 0.9989903876242476 0.9990407604854447 0.9992355960846688 0.9991703111678387 0.9991165603652038 0.999148745477018 0.9990684971077339 0.9990280620410669 0.9984314648967353
