epoch HTL01 HTL02 HTL03 HTL04 HTL05 HTL06 HTL07 HTL08 HTL09 HTL10 HTL11
1.0 0.7132221637073031 0.9893384248792705 0.9812173032349059 0.9499074285896206 0.9940215835680397 0.9960428442649355 0.9963514403676161 0.9952730008410136 0.9736050416351663 0.9957491389517935 0.9607492700323247
2.0 0.7606908291956274 0.9866439115663992 0.9836898667492353 0.9404289371880596 0.9740052513210763 0.9696645215996478 0.9680866622354634 0.9953548670076299 0.9617296097676521 0.9686707479921464 0.9925797156691504
3.0 0.7463623142162245 0.9484686633340235 0.9436559198651029 0.9792560314268942 0.9492938994094761 0.9541612126016614 0.9965867714884282 0.9606804833887058 0.9951253540065195 0.9600461488803564 0.9506061520719277
4.0 0.7060684370387716 0.9974732490286187 0.9958291129187934 0.9553772622866912 0.9973393968979097 0.9971122403137385 0.997617048053883 0.996779417099158 0.9731347446796857 0.9964378367297864 0.9442060616824909
5.0 0.8127210088177288 0.9943163684439623 0.9927018570366111 0.9987071754028766 0.9917186301120979 0.9918510487748664 0.9578423799611011 0.986709531263532 0.9565333053409724 0.9915497771380419 0.9437841338633025
6.0 0.693661724972674 0.9792176255321713 0.9944927548704735 0.9305209685000424 0.9607426822170657 0.9587528736800016 0.9511476606477594 0.9564283249447075 0.9567397064682388 0.9574055978907398 0.9340270275624593
7.0 0.6858760586033007 0.9818015395073314 0.9832969845849256 0.9923700648060924 0.9874459475717833 0.987820706896719 0.9870451485721754 0.9875067492028385 0.9894249915303942 0.9876891563048301 0.9653642244181554
8.0 0.7108348609069672 0.991086690686274 0.9903338865144098 0.9982146951425274 0.986090812946888 0.9859426901636891 0.9917799365400981 0.9859316185539712 0.9879844978909584 0.9859203439760595 0.9944332698487528
9.0 0.7031769646163274 0.989649363980371 0.9882387585806375 0.921996576212234 0.9865308612977329 0.9857250338412438 0.9897152704150126 0.9813865945519336 0.9875255996455101 0.9825587075590585 0.9834923904372208
10.0 0.6949105355997071 0.990181403361829 0.9925203331908967 0.9722629261983801 0.9840693693938529 0.9853683874875084 0.9916109699755764 0.9876797454015795 0.9780218213278766 0.987415024841014 0.9936249949769413
11.0 0.7293972039435721 0.9982572789897375 0.9966651134915061 0.8828740461631769 0.9474865189742163 0.9442597962848136 0.9408281256943528 0.9410570416301165 0.9352401403837146 0.9986949090921957 0.9553369937743935
12.0 0.6902759730119399 0.9954432225955211 0.9948637859565721 0.9983914825013734 0.9534374836838394 0.9641323978955656 0.9902194497881902 0.9926164782441481 0.9962073962860263 0.995185694818958 0.9971398405853532
13.0 0.6767959983559884 0.9820392857556813 0.9877352628707492 0.9891859656526372 0.991771206626088 0.9938201849325673 0.9947534760659131 0.9942990534754114 0.9837521685132684 0.9942587351113752 0.9938354748547638
14.0 0.6659274451259649 0.9963852736293367 0.9958063348564409 0.9130512433350446 0.9642142360414602 0.9606435982045252 0.9437522005683167 0.9507087050748589 0.9506270405106391 0.9549539591376612 0.944568754555921
15.0 0.6824282307227961 0.9508768153456557 0.9653189046247728 0.9965092947145272 0.9553018738934553 0.9428428641042621 0.9349974034763555 0.938379395169628 0.9286023307185607 0.9394852307223887 0.9392908653415714
16.0 0.7154577955429346 0.9889703317764347 0.9879819538869243 0.9963920917443896 0.9744275234015266 0.9641130120121664 0.9684080457687955 0.9635261028468167 0.9822368813726243 0.9631753435223154 0.9889402110576
17.0 0.6791973029836557 0.9654911387267333 0.972539760437136 0.9845485702320229 0.9546018925940746 0.9470502174054539 0.9456797557120145 0.9407733921922037 0.9528129566156989 0.9428753542957236 0.9436237412852491
18.0 0.6658482752679438 0.977883312094661 0.985141910122147 0.971906100530879 0.9875284849408184 0.9907978080551686 0.9746115731016028 0.9957322766499852 0.9807153264488704 0.9947598810247306 0.9646180125165067
19.0 0.678099064722461 0.9855641167580561 0.9870182705079906 0.9561874048489446 0.9882994274796543 0.9868297371898423 0.9857115247881858 0.988070781298936 0.9770576758153555 0.9876535741202467 0.9867881532870889
20.0 0.6647346337895179 0.9874416079465207 0.9892413813838363 0.9329758155494569 0.9863178269418296 0.9838040943741078 0.9801661559264172 0.9575110192944968 0.9848562741483745 0.9791218851054985 0.9691235432541959
21.0 0.7098366628666274 0.9861051412875683 0.9852033870297712 0.9803506189203897 0.9917981378990238 0.9862326187256677 0.9722980149495654 0.9642290182574751 0.9603686306094034 0.9755713189098857 0.9547610743869501
22.0 0.7216938425004199 0.9736130723291033 0.9884568488829619 0.993692329738646 0.9518217162848157 0.9516804673170658 0.9639195589705535 0.957501687750912 0.9550030297988614 0.9562993318591363 0.9592338760116693
23.0 0.6969472190258897 0.9844069755617012 0.9866196055636427 0.9238340931559638 0.9905112112584807 0.9902242541757509 0.9753792841288734 0.9889684374702264 0.9916571177698456 0.9894037534834519 0.9545311995104641
24.0 0.6736433677092069 0.9895531900293026 0.9897359590466643 0.9901053673331165 0.9870185600056766 0.9874493275186748 0.9828811339078078 0.9864148780913525 0.9872420224390822 0.986905900179864 0.9686331306661051
25.0 0.640392770563098 0.9894469448593246 0.9923987635554694 0.9256749232281054 0.9885384606189537 0.9901812739088539 0.9929859989777973 0.9934742478894046 0.9890689991426963 0.9921618841619904 0.9978263154743996
26.0 0.7074078408228921 0.9960370314231287 0.9977400823471193 0.9305863935188223 0.9483629029359768 0.9506444847737238 0.9581368317599113 0.9512783077118643 0.9367563292888677 0.9519025523058289 0.9952175345997424
27.0 0.6846282782155091 0.9516923481552101 0.9452156290564687 0.9936775468517428 0.9523169908491753 0.9941950304938153 0.982400521725583 0.9944861706587965 0.9674964340568813 0.9940829138142889 0.9656351865335334
28.0 0.7568031130113775 0.952822218155779 0.9473490006356278 0.9940110420658893 0.9520967087515023 0.9495753528676139 0.9559059102325699 0.9529677306537258 0.9525915872348011 0.9524120616691063 0.965524953679437
